Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,race_round,RaceName
0 days 01:27:33.930000,VER,1,0 days 00:01:58.378000,15.0,2.0,0 days 01:25:58.127000,,0 days 00:00:51.854000,0 days 00:00:42.629000,0 days 00:00:23.895000,0 days 01:26:27.465000,0 days 01:27:10.094000,0 days 01:27:33.989000,230.0,237.0,279.0,218.0,False,SOFT,1.0,False,Red Bull Racing,0 days 01:25:35.552000,2023-03-05 15:26:37.401,1,2.0,False,,False,False,1,Bahrain Grand Prix
0 days 02:03:45.820000,VER,1,0 days 00:01:58.490000,37.0,3.0,0 days 02:02:10.556000,,0 days 00:00:52.755000,0 days 00:00:42.071000,0 days 00:00:23.664000,0 days 02:02:40.144000,0 days 02:03:22.215000,0 days 02:03:45.879000,232.0,244.0,281.0,215.0,False,HARD,1.0,True,Red Bull Racing,0 days 02:01:47.330000,2023-03-05 16:02:49.179,1,1.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:19:58.205000,GAS,10,0 days 00:02:01.262000,10.0,2.0,0 days 01:18:21.104000,,0 days 00:00:54.574000,0 days 00:00:42.660000,0 days 00:00:24.028000,0 days 01:18:51.526000,0 days 01:19:34.186000,0 days 01:19:58.214000,227.0,245.0,278.0,215.0,False,HARD,1.0,True,Alpine,0 days 01:17:56.943000,2023-03-05 15:18:58.792,1,20.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:46:47.684000,GAS,10,0 days 00:01:59.404000,26.0,3.0,0 days 01:45:11.481000,,0 days 00:00:53.105000,0 days 00:00:42.400000,0 days 00:00:23.899000,0 days 01:45:41.394000,0 days 01:46:23.794000,0 days 01:46:47.693000,228.0,250.0,280.0,215.0,False,HARD,1.0,True,Alpine,0 days 01:44:48.280000,2023-03-05 15:45:50.129,1,17.0,False,,False,False,1,Bahrain Grand Prix
0 days 02:12:01.223000,GAS,10,0 days 00:02:08.544000,41.0,4.0,0 days 02:10:15.719000,,0 days 00:01:00.744000,0 days 00:00:44.327000,0 days 00:00:23.473000,0 days 02:10:53.432000,0 days 02:11:37.759000,0 days 02:12:01.232000,169.0,255.0,289.0,208.0,False,SOFT,1.0,True,Alpine,0 days 02:09:52.679000,2023-03-05 16:10:54.528,671,10.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:32:41.549000,PER,11,0 days 00:01:58.797000,18.0,2.0,0 days 01:31:05.324000,,0 days 00:00:51.905000,0 days 00:00:42.936000,0 days 00:00:23.956000,0 days 01:31:34.682000,0 days 01:32:17.618000,0 days 01:32:41.574000,232.0,241.0,280.0,218.0,False,SOFT,3.0,False,Red Bull Racing,0 days 01:30:42.752000,2023-03-05 15:31:44.601,1,3.0,False,,False,False,1,Bahrain Grand Prix
0 days 02:00:44.305000,PER,11,0 days 00:01:58.785000,35.0,3.0,0 days 01:59:08.856000,,0 days 00:00:52.704000,0 days 00:00:42.423000,0 days 00:00:23.658000,0 days 01:59:38.249000,0 days 02:00:20.672000,0 days 02:00:44.330000,234.0,250.0,281.0,218.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:58:45.520000,2023-03-05 15:59:47.369,1,2.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:28:02.759000,ALO,14,0 days 00:01:59.692000,15.0,2.0,0 days 01:26:27.142000,,0 days 00:00:53.186000,0 days 00:00:42.622000,0 days 00:00:23.884000,0 days 01:26:56.314000,0 days 01:27:38.936000,0 days 01:28:02.820000,228.0,250.0,280.0,220.0,False,HARD,1.0,True,Aston Martin,0 days 01:26:03.067000,2023-03-05 15:27:04.916,1,8.0,False,,False,False,1,Bahrain Grand Prix
0 days 02:01:06.916000,ALO,14,0 days 00:01:57.389000,35.0,3.0,0 days 01:59:32.653000,,0 days 00:00:52.333000,0 days 00:00:41.520000,0 days 00:00:23.536000,0 days 02:00:01.921000,0 days 02:00:43.441000,0 days 02:01:06.977000,233.0,256.0,283.0,217.0,False,HARD,1.0,True,Aston Martin,0 days 01:59:09.527000,2023-03-05 16:00:11.376,1,6.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:26:05.327000,LEC,16,0 days 00:01:58.770000,14.0,2.0,0 days 01:24:29.253000,,0 days 00:00:52.070000,0 days 00:00:42.739000,0 days 00:00:23.961000,0 days 01:24:58.676000,0 days 01:25:41.415000,0 days 01:26:05.376000,230.0,243.0,282.0,219.0,False,HARD,1.0,True,Ferrari,0 days 01:24:06.557000,2023-03-05 15:25:08.406,1,5.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:59:15.988000,LEC,16,0 days 00:01:59.477000,34.0,3.0,0 days 01:57:39.468000,,0 days 00:00:52.321000,0 days 00:00:43.143000,0 days 00:00:24.013000,0 days 01:58:08.881000,0 days 01:58:52.024000,0 days 01:59:16.037000,228.0,234.0,281.0,222.0,False,HARD,1.0,True,Ferrari,0 days 01:57:16.511000,2023-03-05 15:58:18.360,1,4.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:29:45.518000,STR,18,0 days 00:01:59.876000,16.0,2.0,0 days 01:28:09.343000,,0 days 00:00:53.276000,0 days 00:00:42.527000,0 days 00:00:24.073000,0 days 01:28:38.975000,0 days 01:29:21.502000,0 days 01:29:45.575000,228.0,238.0,279.0,216.0,False,HARD,1.0,True,Aston Martin,0 days 01:27:45.642000,2023-03-05 15:28:47.491,1,9.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:54:43.269000,STR,18,0 days 00:01:57.063000,31.0,3.0,0 days 01:53:09.128000,,0 days 00:00:51.935000,0 days 00:00:41.573000,0 days 00:00:23.555000,0 days 01:53:38.198000,0 days 01:54:19.771000,0 days 01:54:43.326000,229.0,256.0,283.0,218.0,False,HARD,1.0,True,Aston Martin,0 days 01:52:46.206000,2023-03-05 15:53:48.055,1,8.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:24:56.359000,SAR,2,0 days 00:02:00.255000,13.0,2.0,0 days 01:23:19.958000,,0 days 00:00:53.407000,0 days 00:00:42.646000,0 days 00:00:24.202000,0 days 01:23:49.515000,0 days 01:24:32.161000,0 days 01:24:56.363000,233.0,246.0,284.0,219.0,False,SOFT,1.0,True,Williams,0 days 01:22:56.104000,2023-03-05 15:23:57.953,1,15.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:55:09.022000,SAR,2,0 days 00:01:59.303000,31.0,3.0,0 days 01:53:33.675000,,0 days 00:00:53.340000,0 days 00:00:42.124000,0 days 00:00:23.839000,0 days 01:54:03.063000,0 days 01:54:45.187000,0 days 01:55:09.026000,234.0,253.0,283.0,221.0,False,HARD,1.0,True,Williams,0 days 01:53:09.719000,2023-03-05 15:54:11.568,1,14.0,False,,False,False,1,Bahrain Grand Prix
0 days 02:12:11.329000,SAR,2,0 days 00:02:05.614000,41.0,4.0,0 days 02:10:29.016000,,0 days 00:00:59.069000,0 days 00:00:42.812000,0 days 00:00:23.733000,0 days 02:11:04.788000,0 days 02:11:47.600000,0 days 02:12:11.333000,142.0,250.0,284.0,220.0,False,SOFT,1.0,True,Williams,0 days 02:10:05.715000,2023-03-05 16:11:07.564,671,14.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:30:11.029000,MAG,20,0 days 00:02:00.587000,16.0,2.0,0 days 01:28:34.186000,,0 days 00:00:53.295000,0 days 00:00:43.201000,0 days 00:00:24.091000,0 days 01:29:03.767000,0 days 01:29:46.968000,0 days 01:30:11.059000,226.0,236.0,279.0,218.0,False,HARD,1.0,True,Haas F1 Team,0 days 01:28:10.442000,2023-03-05 15:29:12.291,1,18.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:53:42.084000,MAG,20,0 days 00:02:00.933000,30.0,3.0,0 days 01:52:04.754000,,0 days 00:00:52.880000,0 days 00:00:43.703000,0 days 00:00:24.350000,0 days 01:52:34.061000,0 days 01:53:17.764000,0 days 01:53:42.114000,232.0,235.0,281.0,221.0,False,SOFT,1.0,True,Haas F1 Team,0 days 01:51:41.151000,2023-03-05 15:52:43.000,1,17.0,False,,False,False,1,Bahrain Grand Prix
0 days 02:12:23.392000,MAG,20,0 days 00:02:02.547000,41.0,4.0,0 days 02:10:44.250000,,0 days 00:00:56.351000,0 days 00:00:42.391000,0 days 00:00:23.805000,0 days 02:11:17.226000,0 days 02:11:59.617000,0 days 02:12:23.422000,232.0,244.0,282.0,222.0,False,SOFT,1.0,True,Haas F1 Team,0 days 02:10:20.845000,2023-03-05 16:11:22.694,671,15.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:23:23.452000,DEV,21,0 days 00:02:01.184000,12.0,2.0,0 days 01:21:45.569000,,0 days 00:00:53.538000,0 days 00:00:43.459000,0 days 00:00:24.187000,0 days 01:22:15.855000,0 days 01:22:59.314000,0 days 01:23:23.501000,231.0,247.0,280.0,214.0,False,HARD,1.0,True,AlphaTauri,0 days 01:21:22.268000,2023-03-05 15:22:24.117,1,19.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:50:16.659000,DEV,21,0 days 00:02:00.083000,28.0,3.0,0 days 01:48:39.899000,,0 days 00:00:53.173000,0 days 00:00:42.985000,0 days 00:00:23.925000,0 days 01:49:09.798000,0 days 01:49:52.783000,0 days 01:50:16.708000,232.0,242.0,278.0,214.0,False,HARD,1.0,True,AlphaTauri,0 days 01:48:16.576000,2023-03-05 15:49:18.425,1,16.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:21:34.121000,TSU,22,0 days 00:01:59.843000,11.0,2.0,0 days 01:19:57.836000,,0 days 00:00:53.357000,0 days 00:00:42.423000,0 days 00:00:24.063000,0 days 01:20:27.663000,0 days 01:21:10.086000,0 days 01:21:34.149000,226.0,255.0,279.0,217.0,False,HARD,1.0,True,AlphaTauri,0 days 01:19:34.278000,2023-03-05 15:20:36.127,1,18.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:48:27.066000,TSU,22,0 days 00:02:00.300000,27.0,3.0,0 days 01:46:49.416000,,0 days 00:00:52.788000,0 days 00:00:43.364000,0 days 00:00:24.148000,0 days 01:47:19.582000,0 days 01:48:02.946000,0 days 01:48:27.094000,236.0,254.0,289.0,219.0,False,HARD,1.0,True,AlphaTauri,0 days 01:46:26.766000,2023-03-05 15:47:28.615,1,16.0,False,,False,False,1,Bahrain Grand Prix
0 days 02:12:04.802000,TSU,22,0 days 00:02:10.782000,41.0,4.0,0 days 02:10:18.125000,,0 days 00:01:03.303000,0 days 00:00:43.564000,0 days 00:00:23.915000,0 days 02:10:57.351000,0 days 02:11:40.915000,0 days 02:12:04.830000,177.0,263.0,290.0,223.0,False,SOFT,4.0,False,AlphaTauri,0 days 02:09:54.020000,2023-03-05 16:10:55.869,671,13.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:23:12.065000,ALB,23,0 days 00:01:59.445000,12.0,2.0,0 days 01:21:35.928000,,0 days 00:00:52.452000,0 days 00:00:42.947000,0 days 00:00:24.046000,0 days 01:22:05.129000,0 days 01:22:48.076000,0 days 01:23:12.122000,233.0,239.0,285.0,220.0,False,SOFT,1.0,True,Williams,0 days 01:21:12.620000,2023-03-05 15:22:14.469,1,15.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:48:25.494000,ALB,23,0 days 00:01:59.870000,27.0,3.0,0 days 01:46:48.838000,,0 days 00:00:53.056000,0 days 00:00:42.957000,0 days 00:00:23.857000,0 days 01:47:18.737000,0 days 01:48:01.694000,0 days 01:48:25.551000,234.0,248.0,286.0,219.0,False,HARD,1.0,True,Williams,0 days 01:46:25.624000,2023-03-05 15:47:27.473,1,14.0,False,,False,False,1,Bahrain Grand Prix
0 days 02:12:00.853000,ALB,23,0 days 00:02:08.659000,41.0,4.0,0 days 02:10:14.985000,,0 days 00:00:59.220000,0 days 00:00:45.873000,0 days 00:00:23.566000,0 days 02:10:51.471000,0 days 02:11:37.344000,0 days 02:12:00.910000,162.0,255.0,286.0,217.0,False,SOFT,1.0,False,Williams,0 days 02:09:52.194000,2023-03-05 16:10:54.043,671,9.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:25:03.589000,ZHO,24,0 days 00:02:02.101000,13.0,2.0,0 days 01:23:25.536000,,0 days 00:00:54.117000,0 days 00:00:43.596000,0 days 00:00:24.388000,0 days 01:23:55.637000,0 days 01:24:39.233000,0 days 01:25:03.621000,231.0,251.0,293.0,215.0,False,HARD,1.0,True,Alfa Romeo,0 days 01:23:01.488000,2023-03-05 15:24:03.337,1,20.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:58:31.128000,ZHO,24,0 days 00:01:59.659000,33.0,3.0,0 days 01:56:55.077000,,0 days 00:00:53.038000,0 days 00:00:42.807000,0 days 00:00:23.814000,0 days 01:57:24.539000,0 days 01:58:07.346000,0 days 01:58:31.160000,230.0,246.0,280.0,216.0,False,SOFT,4.0,False,Alfa Romeo,0 days 01:56:31.469000,2023-03-05 15:57:33.318,1,15.0,False,,False,False,1,Bahrain Grand Prix
0 days 02:35:39.272000,ZHO,24,0 days 00:02:07.673000,55.0,4.0,0 days 02:34:00.006000,,0 days 00:00:58.478000,0 days 00:00:44.129000,0 days 00:00:25.066000,0 days 02:34:30.109000,0 days 02:35:14.238000,0 days 02:35:39.304000,227.0,242.0,281.0,209.0,False,SOFT,4.0,False,Alfa Romeo,0 days 02:33:31.599000,2023-03-05 16:34:33.448,1,16.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:23:24.067000,HUL,27,0 days 00:02:02.579000,12.0,2.0,0 days 01:21:45.834000,,0 days 00:00:54.500000,0 days 00:00:43.599000,0 days 00:00:24.480000,0 days 01:22:16.015000,0 days 01:22:59.614000,0 days 01:23:24.094000,213.0,245.0,288.0,212.0,False,HARD,1.0,True,Haas F1 Team,0 days 01:21:21.488000,2023-03-05 15:22:23.337,1,20.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:48:53.896000,HUL,27,0 days 00:02:12.037000,27.0,3.0,0 days 01:47:17.900000,,0 days 00:01:05.552000,0 days 00:00:42.412000,0 days 00:00:24.073000,0 days 01:47:47.438000,0 days 01:48:29.850000,0 days 01:48:53.923000,229.0,246.0,281.0,208.0,False,HARD,1.0,True,Haas F1 Team,0 days 01:46:41.859000,2023-03-05 15:47:43.708,1,19.0,False,,False,False,1,Bahrain Grand Prix
0 days 02:12:32.030000,HUL,27,0 days 00:02:05.275000,41.0,4.0,0 days 02:10:52.078000,,0 days 00:00:56.839000,0 days 00:00:44.428000,0 days 00:00:24.008000,0 days 02:11:23.621000,0 days 02:12:08.049000,0 days 02:12:32.057000,233.0,245.0,282.0,211.0,False,SOFT,4.0,False,Haas F1 Team,0 days 02:10:26.755000,2023-03-05 16:11:28.604,671,16.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:24:51.338000,OCO,31,0 days 00:02:00.381000,13.0,2.0,0 days 01:23:14.208000,,0 days 00:00:53.451000,0 days 00:00:42.674000,0 days 00:00:24.256000,0 days 01:23:44.440000,0 days 01:24:27.114000,0 days 01:24:51.370000,228.0,246.0,287.0,217.0,False,HARD,1.0,True,Alpine,0 days 01:22:50.957000,2023-03-05 15:23:52.806,1,12.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:30:27.558000,OCO,31,0 days 00:02:15.708000,16.0,3.0,0 days 01:28:51.608000,,0 days 00:01:08.689000,0 days 00:00:42.863000,0 days 00:00:24.156000,0 days 01:29:20.571000,0 days 01:30:03.434000,0 days 01:30:27.590000,225.0,253.0,278.0,220.0,False,HARD,4.0,False,Alpine,0 days 01:28:11.850000,2023-03-05 15:29:13.699,1,19.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:59:22.540000,OCO,31,0 days 00:02:18.694000,33.0,4.0,0 days 01:57:46.639000,,0 days 00:01:12.748000,0 days 00:00:42.304000,0 days 00:00:23.642000,0 days 01:58:16.626000,0 days 01:58:58.930000,0 days 01:59:22.572000,227.0,255.0,281.0,215.0,False,HARD,1.0,True,Alpine,0 days 01:57:03.846000,2023-03-05 15:58:05.695,1,19.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:21:41.975000,NOR,4,0 days 00:02:09.886000,11.0,2.0,0 days 01:20:03.117000,,0 days 00:01:01.490000,0 days 00:00:43.939000,0 days 00:00:24.457000,0 days 01:20:33.579000,0 days 01:21:17.518000,0 days 01:21:41.975000,227.0,236.0,278.0,213.0,False,HARD,1.0,True,McLaren,0 days 01:19:32.089000,2023-03-05 15:20:33.938,1,20.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:33:47.880000,NOR,4,0 days 00:02:08.607000,18.0,3.0,0 days 01:32:11.464000,,0 days 00:01:00.993000,0 days 00:00:43.457000,0 days 00:00:24.157000,0 days 01:32:40.266000,0 days 01:33:23.723000,0 days 01:33:47.880000,231.0,230.0,278.0,220.0,False,SOFT,4.0,False,McLaren,0 days 01:31:39.273000,2023-03-05 15:32:41.122,1,19.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:50:43.906000,NOR,4,0 days 00:02:07.663000,28.0,4.0,0 days 01:49:07.976000,,0 days 00:01:01.171000,0 days 00:00:42.498000,0 days 00:00:23.994000,0 days 01:49:37.414000,0 days 01:50:19.912000,0 days 01:50:43.906000,233.0,238.0,279.0,216.0,False,MEDIUM,1.0,True,McLaren,0 days 01:48:36.243000,2023-03-05 15:49:38.092,1,19.0,False,,False,False,1,Bahrain Grand Prix
0 days 02:07:36.792000,NOR,4,0 days 00:02:08.682000,38.0,5.0,0 days 02:05:59.599000,,0 days 00:01:02.477000,0 days 00:00:42.444000,0 days 00:00:23.761000,0 days 02:06:30.587000,0 days 02:07:13.031000,0 days 02:07:36.792000,234.0,255.0,282.0,182.0,False,HARD,1.0,True,McLaren,0 days 02:05:28.110000,2023-03-05 16:06:29.959,1,19.0,False,,False,False,1,Bahrain Grand Prix
0 days 02:24:52.808000,NOR,4,0 days 00:02:06.905000,48.0,6.0,0 days 02:23:14.893000,,0 days 00:00:59.260000,0 days 00:00:43.221000,0 days 00:00:24.424000,0 days 02:23:45.163000,0 days 02:24:28.384000,0 days 02:24:52.808000,236.0,237.0,281.0,195.0,False,SOFT,5.0,False,McLaren,0 days 02:22:45.903000,2023-03-05 16:23:47.752,1,17.0,False,,False,False,1,Bahrain Grand Prix
0 days 02:36:40.255000,NOR,4,0 days 00:02:04.847000,55.0,7.0,0 days 02:35:05.192000,,0 days 00:00:59.558000,0 days 00:00:41.730000,0 days 00:00:23.559000,0 days 02:35:34.966000,0 days 02:36:16.696000,0 days 02:36:40.255000,229.0,260.0,280.0,215.0,False,SOFT,7.0,False,McLaren,0 days 02:34:35.408000,2023-03-05 16:35:37.257,1,17.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:24:39.749000,HAM,44,0 days 00:01:59.179000,13.0,2.0,0 days 01:23:03.520000,,0 days 00:00:52.819000,0 days 00:00:42.559000,0 days 00:00:23.801000,0 days 01:23:33.429000,0 days 01:24:15.988000,0 days 01:24:39.789000,230.0,252.0,282.0,214.0,False,HARD,1.0,True,Mercedes,0 days 01:22:40.570000,2023-03-05 15:23:42.419,1,8.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:54:35.870000,HAM,44,0 days 00:01:59.503000,31.0,3.0,0 days 01:52:59.316000,,0 days 00:00:52.363000,0 days 00:00:43.477000,0 days 00:00:23.663000,0 days 01:53:28.770000,0 days 01:54:12.247000,0 days 01:54:35.910000,235.0,238.0,283.0,219.0,False,HARD,1.0,True,Mercedes,0 days 01:52:36.367000,2023-03-05 15:53:38.216,1,7.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:26:16.574000,SAI,55,0 days 00:01:59.006000,14.0,2.0,0 days 01:24:40.347000,,0 days 00:00:52.026000,0 days 00:00:42.788000,0 days 00:00:24.192000,0 days 01:25:09.660000,0 days 01:25:52.448000,0 days 01:26:16.640000,228.0,242.0,280.0,221.0,False,HARD,1.0,True,Ferrari,0 days 01:24:17.568000,2023-03-05 15:25:19.417,1,6.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:56:10.066000,SAI,55,0 days 00:01:58.492000,32.0,3.0,0 days 01:54:34.096000,,0 days 00:00:51.610000,0 days 00:00:42.949000,0 days 00:00:23.933000,0 days 01:55:03.250000,0 days 01:55:46.199000,0 days 01:56:10.132000,230.0,240.0,281.0,219.0,False,HARD,1.0,True,Ferrari,0 days 01:54:11.574000,2023-03-05 15:55:13.423,1,5.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:26:26.006000,RUS,63,0 days 00:02:01.269000,14.0,2.0,0 days 01:24:50.050000,,0 days 00:00:54.862000,0 days 00:00:42.554000,0 days 00:00:23.853000,0 days 01:25:19.613000,0 days 01:26:02.167000,0 days 01:26:26.020000,228.0,256.0,288.0,214.0,False,HARD,1.0,True,Mercedes,0 days 01:24:24.737000,2023-03-05 15:25:26.586,1,10.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:56:20.913000,RUS,63,0 days 00:01:58.694000,32.0,3.0,0 days 01:54:44.892000,,0 days 00:00:52.322000,0 days 00:00:42.773000,0 days 00:00:23.599000,0 days 01:55:14.555000,0 days 01:55:57.328000,0 days 01:56:20.927000,235.0,245.0,286.0,216.0,False,HARD,1.0,True,Mercedes,0 days 01:54:22.219000,2023-03-05 15:55:24.068,1,8.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:23:06.132000,BOT,77,0 days 00:01:59.450000,12.0,2.0,0 days 01:21:30.319000,,0 days 00:00:52.921000,0 days 00:00:42.490000,0 days 00:00:24.039000,0 days 01:21:59.647000,0 days 01:22:42.137000,0 days 01:23:06.176000,228.0,252.0,278.0,215.0,False,HARD,1.0,True,Alfa Romeo,0 days 01:21:06.682000,2023-03-05 15:22:08.531,1,14.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:53:15.605000,BOT,77,0 days 00:01:58.886000,30.0,3.0,0 days 01:51:40.630000,,0 days 00:00:52.999000,0 days 00:00:42.137000,0 days 00:00:23.750000,0 days 01:52:09.762000,0 days 01:52:51.899000,0 days 01:53:15.649000,229.0,252.0,278.0,218.0,False,HARD,1.0,True,Alfa Romeo,0 days 01:51:16.719000,2023-03-05 15:52:18.568,1,11.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:35:03.681000,VER,1,,19.0,2.0,0 days 01:32:36.225000,,0 days 00:01:03.956000,0 days 00:00:47.565000,0 days 00:00:55.738000,0 days 01:33:20.474000,0 days 01:34:08.051000,0 days 01:35:04.238000,263.0,113.0,115.0,106.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:32:16.363000,2023-03-19 17:33:16.449,4,4.0,False,,False,False,2,Saudi Arabian Grand Prix
0 days 01:27:20.761000,GAS,10,0 days 00:01:53.128000,15.0,2.0,0 days 01:25:47.357000,,0 days 00:00:52.805000,0 days 00:00:30.262000,0 days 00:00:30.061000,0 days 01:26:20.508000,0 days 01:26:50.770000,0 days 01:27:20.831000,276.0,298.0,289.0,301.0,False,HARD,1.0,True,Alpine,0 days 01:25:27.633000,2023-03-19 17:26:27.719,1,14.0,False,,False,False,2,Saudi Arabian Grand Prix
0 days 01:34:58.167000,PER,11,,19.0,2.0,0 days 01:32:07.553000,,0 days 00:01:16.740000,0 days 00:00:59.741000,0 days 00:00:53.853000,0 days 01:33:04.833000,0 days 01:34:04.551000,0 days 01:34:58.300000,123.0,133.0,162.0,135.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:31:47.855000,2023-03-19 17:32:47.941,4,1.0,False,,False,False,2,Saudi Arabian Grand Prix
0 days 01:35:00.274000,ALO,14,,19.0,2.0,0 days 01:32:21.959000,,0 days 00:01:11.379000,0 days 00:00:58.365000,0 days 00:00:54.412000,0 days 01:33:07.630000,0 days 01:34:06.035000,0 days 01:35:00.456000,130.0,115.0,189.0,150.0,False,HARD,2.0,False,Aston Martin,0 days 01:31:56.092000,2023-03-19 17:32:56.178,4,2.0,False,,False,False,2,Saudi Arabian Grand Prix
0 days 01:30:29.862000,LEC,16,0 days 00:01:59.434000,17.0,2.0,0 days 01:28:49.494000,,0 days 00:00:52.390000,0 days 00:00:30.321000,0 days 00:00:36.723000,0 days 01:29:22.900000,0 days 01:29:53.221000,0 days 01:30:29.944000,281.0,294.0,259.0,300.0,False,HARD,1.0,True,Ferrari,0 days 01:28:30.428000,2023-03-19 17:29:30.514,124,8.0,False,,False,False,2,Saudi Arabian Grand Prix
0 days 01:25:35.233000,STR,18,0 days 00:01:54.305000,14.0,2.0,0 days 01:24:01.109000,,0 days 00:00:53.174000,0 days 00:00:30.418000,0 days 00:00:30.713000,0 days 01:24:34.197000,0 days 01:25:04.615000,0 days 01:25:35.328000,266.0,298.0,287.0,287.0,False,HARD,2.0,False,Aston Martin,0 days 01:23:40.928000,2023-03-19 17:24:41.014,1,11.0,False,,False,False,2,Saudi Arabian Grand Prix
0 days 01:35:19.222000,SAR,2,0 days 00:02:22.638000,19.0,2.0,0 days 01:33:16.568000,,0 days 00:00:57.247000,0 days 00:00:32.173000,0 days 00:00:53.218000,0 days 01:33:53.831000,0 days 01:34:26.004000,0 days 01:35:19.222000,275.0,190.0,218.0,95.0,False,MEDIUM,1.0,True,Williams,0 days 01:32:56.584000,2023-03-19 17:33:56.670,4,15.0,False,,False,False,2,Saudi Arabian Grand Prix
0 days 01:17:49.366000,MAG,20,0 days 00:01:52.964000,9.0,2.0,0 days 01:16:16.352000,,0 days 00:00:52.627000,0 days 00:00:30.140000,0 days 00:00:30.197000,0 days 01:16:49.107000,0 days 01:17:19.247000,0 days 01:17:49.444000,280.0,295.0,292.0,298.0,False,HARD,1.0,True,Haas F1 Team,0 days 01:15:56.402000,2023-03-19 17:16:56.488,1,18.0,False,,False,False,2,Saudi Arabian Grand Prix
0 days 01:33:10.315000,DEV,21,0 days 00:02:29.507000,18.0,2.0,0 days 01:31:00.929000,,0 days 00:01:02.125000,0 days 00:00:43.231000,0 days 00:00:44.151000,0 days 01:31:43.024000,0 days 01:32:26.255000,0 days 01:33:10.406000,233.0,176.0,223.0,168.0,False,HARD,1.0,True,AlphaTauri,0 days 01:30:40.808000,2023-03-19 17:31:40.894,4,16.0,False,,False,False,2,Saudi Arabian Grand Prix
0 days 01:32:54.918000,TSU,22,0 days 00:02:29.289000,18.0,2.0,0 days 01:30:46.055000,,0 days 00:01:02.976000,0 days 00:00:43.957000,0 days 00:00:42.356000,0 days 01:31:28.685000,0 days 01:32:12.642000,0 days 01:32:54.998000,261.0,187.0,246.0,212.0,False,HARD,1.0,True,AlphaTauri,0 days 01:30:25.629000,2023-03-19 17:31:25.715,4,8.0,False,,False,False,2,Saudi Arabian Grand Prix
0 days 01:33:04.240000,ALB,23,,18.0,2.0,0 days 01:30:54.211000,,0 days 00:01:04.081000,0 days 00:00:42.854000,0 days 00:00:43.454000,0 days 01:31:38.038000,0 days 01:32:20.944000,0 days 01:33:04.412000,211.0,136.0,187.0,226.0,False,HARD,1.0,True,Williams,0 days 01:30:33.822000,2023-03-19 17:31:33.908,4,13.0,False,,False,False,2,Saudi Arabian Grand Prix
0 days 01:22:38.301000,ZHO,24,0 days 00:01:55.874000,12.0,2.0,0 days 01:21:03.128000,,0 days 00:00:55.211000,0 days 00:00:30.140000,0 days 00:00:30.523000,0 days 01:21:37.752000,0 days 01:22:07.892000,0 days 01:22:38.415000,277.0,293.0,308.0,298.0,False,HARD,1.0,True,Alfa Romeo,0 days 01:20:42.427000,2023-03-19 17:21:42.513,1,17.0,False,,False,False,2,Saudi Arabian Grand Prix
